Carimbo de data/hora;Primeiro poderia nos dizer qual seu interesse academico;Qual sua idade1;Com qual genero voce se identifica1;Em qual regiao do Brasil voce mora1;Quais redes sociais voce mais utiliza1;Quais canais de noticia voce costuma acessar1;Nos momentos de lazer o que voce gosta de fazer1;Que tipo de entretenimento voce mais consome1;Dentro do cenario politico em que vivemos qual sua posicao em relacao ao atual governo1;Em que momento voce se encontra como estudante1;Como e sua rotina enquanto estudante1;Em qual area voce pretende estudar1;Como voce se prepara para o vestibular1;Como voce costuma buscar informacoes sobre as instituicoes de ensino onde voce gostaria de estudar1;O que voce considera importante na hora de escolher uma instituicao de ensino superior  Ser uma instituicao renomada1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao publica1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao privada1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao atualizada com o mercado1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser gratuita ou ter um preco acessivel1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter uma boa estrutura fiscia e pedagogica1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter um bom indicie de empregabilidade aPos formado1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter uma boa grade de ensino incluindo aulas praticas1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter atividades complementares na grade de ensino1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de intercambio1;O que voce considera importante na hora de escolher uma instituicao de ensino superior  Ter programas de bolsas de estudo e estagio interno1;Quais das seguintes atividades seriam do seu interesse enquanto estudante de PosGraduacao1;Quanto a localizacao da instituicao o que voce considera importante1;Pensando em estudar longe de casa quais beneficios e atrativos uma cidade precisa ter1;Onde voce costuma ver anuncios sobre cursos vestibulares e instituicoes1
8/23/2019 15:46:15;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:46:35;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:46:56;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Feminino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao;Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Redes Sociais Blogs;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos Participo de grupos estudantis Faco atividades complementares Atuo como monitor Atuo em projetos de iniciacao cientifica;Exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube Participo de grupos de estudo Faco provas que simulam o vestibular;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;4;5;5;5;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Instagram Televisao
8/23/2019 15:50:00;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Radio Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Series Filmes;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo;Dedico bastante tempo aos estudos Faco atividades complementares;Exatas;nao me preparo para o vestibular;Fazendo uma busca no Google Buscando nas redes sociais Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;5;4;5;5;3;4;4;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo custo de vida;Youtube Grupos de Whatsapp E-mail Radio Transporte publico (onibus trem metro etc)
8/23/2019 15:51:19;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:51:33;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:53:05;Estou buscando um curso de Pos-Graduacao;Menos de 18 anos;Masculino;Nordeste;Whatsapp;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Musica Jogos Series Filmes Redes Sociais;Prefiro nao opinar sobre isso.;Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos Dedico pouco tempo aos estudos Faco o basico para conseguir aprovacao;Exatas;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Assistindo videos no Youtube Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;3;4;4;4;5;5;4;5;5;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo indice de violencia;Facebook
8/23/2019 15:53:45;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:53:51;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:56:58;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 15:57:10;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:02:46;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Facebook Messenger (Facebook) Whatsapp;Sites: G1 R7 Folha etc;;Series Redes Sociais;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Humanas;nao me preparo para o vestibular;Buscando nas redes sociais Acessando o site da propria instituicao;3;2;2;5;5;5;5;5;5;2;2;;nao estar muito longe da minha familia;;Facebook
8/23/2019 16:03:33;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Instagram;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia;Musica Filmes Podcasts Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Fazendo minha primeira Pos graduacao;Dedico pouco tempo aos estudos;Exatas;Estudo em casa por conta propria;Conversando com amigos Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;5;1;2;5;1;5;5;5;5;5;5;Empreendedorismo Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Baixo indice de violencia Baixo custo de vida;Facebook Instagram
8/23/2019 16:06:59;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Feminino;Sudeste;Facebook Instagram Youtube Whatsapp Linkedin;Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico;Musica Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando uma graduacao;Dedico pouco tempo aos estudos Faco atividades complementares;Exatas Humanas;Estudo em casa por conta propria Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;4;2;4;5;4;5;4;5;5;3;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo;Estar localizada em qualquer cidade do meu estado Estar dentro de uma cidade pequena e sossegada;Entretenimento para os finais de semana Opcoes de lazer e cultura;Facebook Grupos de Whatsapp
8/23/2019 16:07:19;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:07:58;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:08:40;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:13:43;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:14:02;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:19:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:20:27;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:20:46;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:24:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:27:23;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sul;Youtube Whatsapp;Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Programas de Radio Blogs;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Exatas;nao me preparo para o vestibular;Fazendo uma busca no Google;5;5;1;3;5;3;3;3;2;2;2;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);Estar localizada na cidade em que eu moro Estar localizada numa cidade com baixo custo de vida nao estar muito longe do meu TRABALHO.;Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;midia impressa (revistas jornais panfletos etc)
8/23/2019 16:28:05;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:35:37;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Instagram Whatsapp Linkedin;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao Radio;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Filmes Redes Sociais;Prefiro nao opinar sobre isso.;Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Humanas;Estudo em casa por conta propria;Assistindo videos no Youtube Conversando com amigos;3;3;3;3;3;3;3;3;3;3;3;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado;Transporte publico de qualidade Opcoes de lazer e cultura Baixo indice de violencia;Instagram Youtube Sites e blogs
8/23/2019 16:36:49;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:37:27;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sudeste;Whatsapp Linkedin;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Radio;Ficar em casa vendo series filmes jogando estudando etc Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Series Filmes Podcasts Novelas;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo Buscando minha segunda Pos-graduacao;Dedico pouco tempo aos estudos Faco atividades complementares;Exatas;Leio muitos livros e artigos Assisto videoaulas no Youtube;Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;3;4;5;5;5;5;5;5;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade;E-mail
8/23/2019 16:37:37;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sudeste;Whatsapp Linkedin;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Radio;Ficar em casa vendo series filmes jogando estudando etc Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Series Filmes Podcasts Novelas;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo Buscando minha segunda Pos-graduacao;Dedico pouco tempo aos estudos Faco atividades complementares;Exatas;Leio muitos livros e artigos Assisto videoaulas no Youtube;Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;3;4;5;5;5;5;5;5;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade;E-mail
8/23/2019 16:37:55;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:37:55;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Centro-Oeste;Instagram Whatsapp;Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Esportes;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando uma graduacao;Faco o basico para conseguir aprovacao;Exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube;Assistindo videos no Youtube Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;4;2;3;5;4;3;4;5;3;4;Empreendedorismo;nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Youtube Grupos de Whatsapp E-mail Radio Sites e blogs
8/23/2019 16:38:06;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:41:59;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:45:47;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:48:26;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:56:49;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:58:50;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:00:04;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:11:22;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:13:04;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:22:18;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:22:40;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:22:52;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:26:44;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Nordeste;Facebook Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Televisao Radio;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Filmes Podcasts Programas de Radio;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Cursando uma graduacao Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos Faco atividades complementares;Exatas;Leio muitos livros e artigos Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Conversando com amigos Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;3;5;5;5;5;3;3;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro nao estar muito longe da minha familia;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Radio midia impressa (revistas jornais panfletos etc) Sites e blogs
8/23/2019 17:32:07;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:49:48;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 17:59:26;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:01:00;Estou buscando um curso de Pos-Graduacao;De 18 a 20 anos;Masculino;Nordeste;Instagram Youtube Whatsapp;Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Curtir shows e festivais de musica Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Filmes Redes Sociais Programas de Radio;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando um tecnologo;Dedico bastante tempo aos estudos;Exatas Biologicas Humanas;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube Assisto videoaulas em sites pagos Faco provas que simulam o vestibular;Assistindo videos no Youtube Conversando com meus pais Conversando com amigos Conversando com parentes Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;5;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado);Estar localizada na cidade em que eu moro Estar localizada em qualquer cidade do meu estado Estar localizada numa cidade com baixo custo de vida nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Youtube
8/23/2019 18:01:13;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Filmes Podcasts Redes Sociais Reality shows Programas de Radio;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos Participo de grupos estudantis Atuo como monitor;Exatas;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube Participo de grupos de estudo Faco provas que simulam o vestibular;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;5;5;4;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Instagram Youtube E-mail
8/23/2019 18:11:06;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:19:02;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:28:12;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:33:16;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:45:10;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:47:27;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Facebook Youtube Whatsapp;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis Televisao Radio;Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Filmes Redes Sociais Programas de Radio;"Sou contra e discordo das decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo;Dedico pouco tempo aos estudos;Exatas Humanas;Estudo em casa por conta propria Leio muitos livros e artigos;Conversando com amigos Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;3;1;1;3;3;3;3;3;3;3;3;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Associacao Atletica Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Facebook Televisao Radio midia impressa (revistas jornais panfletos etc)
8/23/2019 18:57:54;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Instagram Whatsapp Linkedin;Sites: G1 R7 Folha etc Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Esportes Podcasts Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos;Exatas Humanas;Faco um curso pre-vestibular Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Assistindo videos no Youtube Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;5;2;2;5;4;5;5;5;3;3;5;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);Estar localizada na cidade em que eu moro Estar localizada numa cidade com baixo custo de vida nao estar muito longe da minha familia;Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Instagram Grupos de Whatsapp E-mail
8/23/2019 18:58:34;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 18:59:15;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 19:48:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 19:57:39;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
