Carimbo de data/hora;Primeiro poderia nos dizer qual seu interesse academico;Qual sua idade1;Com qual genero voce se identifica1;Em qual regiao do Brasil voce mora1;Quais redes sociais voce mais utiliza1;Quais canais de noticia voce costuma acessar1;Nos momentos de lazer o que voce gosta de fazer1;Que tipo de entretenimento voce mais consome1;Dentro do cenario politico em que vivemos qual sua posicao em relacao ao atual governo1;Em que momento voce se encontra como estudante1;Como e sua rotina enquanto estudante1;Em qual area voce pretende estudar1;Como voce se prepara para o vestibular1;Como voce costuma buscar informacoes sobre as instituicoes de ensino onde voce gostaria de estudar1;O que voce considera importante na hora de escolher uma instituicao de ensino superior  Ser uma instituicao renomada1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao publica1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao privada1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao atualizada com o mercado1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser gratuita ou ter um preco acessivel1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter uma boa estrutura fiscia e pedagogica1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter um bom indicie de empregabilidade aPos formado1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter uma boa grade de ensino incluindo aulas praticas1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter atividades complementares na grade de ensino1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de intercambio1;O que voce considera importante na hora de escolher uma instituicao de ensino superior  Ter programas de bolsas de estudo e estagio interno1;Quais das seguintes atividades seriam do seu interesse enquanto estudante de PosGraduacao1;Quanto a localizacao da instituicao o que voce considera importante1;Pensando em estudar longe de casa quais beneficios e atrativos uma cidade precisa ter1;Onde voce costuma ver anuncios sobre cursos vestibulares e instituicoes1
8/23/2019 20:22:15;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Filmes;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo;Dedico pouco tempo aos estudos Atuo como monitor Atuo em projetos de iniciacao cientifica;Exatas;Faco um curso pre-vestibular Estudo em casa por conta propria Leio muitos livros e artigos;Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais;5;4;4;5;5;5;5;4;4;3;5;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) E-sports (Modalidade de esportes eletronicos) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro nao estar muito longe da minha familia;Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube Grupos de Whatsapp Televisao
8/23/2019 20:47:45;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Facebook Instagram Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Blogs e Foruns Televisao;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia;Jogos Esportes Series;Prefiro nao opinar sobre isso.;Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Exatas;nao me preparo para o vestibular;Assistindo videos no Youtube Conversando com parentes Fazendo uma busca no Google Lendo avaliacoes em sites e blogs;5;;;5;5;;;;;;;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);Estar localizada na cidade em que eu moro;Transporte publico de qualidade;midia impressa (revistas jornais panfletos etc)
8/23/2019 21:06:53;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 22:18:23;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 22:26:16;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Feminino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp Twitter Linkedin;Sites: G1 R7 Folha etc;Sair para passear no shopping parque ou algum espaco publico Curtir shows e festivais de musica Frequentar museus galerias e espacos culturais;Musica Filmes Redes Sociais;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos;Humanas;Estudo em casa por conta propria Participo de grupos de estudo Faco provas que simulam o vestibular;Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;1;1;1;2;1;2;2;2;2;1;2;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso);Perto do trabalho;Transporte publico de qualidade Baixo indice de violencia;Facebook Instagram Twitter Youtube Grupos de Whatsapp E-mail Sites e blogs
8/23/2019 22:54:20;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 23:36:18;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 23:47:34;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:06:23;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:14:47;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:24:28;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos Participo de grupos estudantis Faco atividades complementares Atuo em projetos de iniciacao cientifica;Exatas;Faco um curso pre-vestibular Leio muitos livros e artigos Assisto videoaulas no Youtube Participo de grupos de estudo Faco provas que simulam o vestibular;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;2;2;5;3;5;5;5;5;3;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada numa cidade com baixo custo de vida nao estar muito longe da minha familia;Entretenimento para os finais de semana Baixo indice de violencia Baixo custo de vida;Facebook Youtube E-mail Sites e blogs
8/24/2019 0:39:17;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:44:37;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:44:47;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 0:53:52;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 1:23:14;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 2:29:25;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 5:41:59;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 11:03:29;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 11:46:32;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 12:03:53;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Facebook Instagram Whatsapp Linkedin;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis Televisao Radio;Ficar em casa vendo series filmes jogando estudando etc Curtir shows e festivais de musica Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Filmes Podcasts Programas de Radio;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Faco atividades complementares;Exatas Humanas;nao me preparo para o vestibular;Assistindo videos no Youtube Conversando com amigos Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;2;3;5;4;5;4;5;4;3;3;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Facebook Youtube E-mail
8/24/2019 12:35:27;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Instagram Linkedin;;;Jogos Series Filmes Podcasts;Prefiro nao opinar sobre isso.;Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Exatas;;;5;3;3;4;4;5;4;4;4;3;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) E-sports (Modalidade de esportes eletronicos) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado;Baixo custo de vida;
8/24/2019 13:43:59;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Instagram Whatsapp;Sites: G1 R7 Folha etc Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia;Series Filmes;"Sou contra e discordo das decisoes que estao sendo tomadas;";Buscando minha segunda Pos-graduacao;nao costumo estudar;Exatas;nao me preparo para o vestibular;Fazendo uma busca no Google;4;1;1;4;3;4;4;4;3;1;3;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);Estar localizada na cidade em que eu moro Estar localizada numa cidade com baixo custo de vida;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;E-mail midia impressa (revistas jornais panfletos etc)
8/24/2019 14:01:03;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Sudeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Radio;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos Faco atividades complementares Atuo como monitor Atuo em projetos de iniciacao cientifica;Exatas;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Conversando com amigos Fazendo uma busca no Google Vendo a avaliacao da instituicao no site do MEC;5;4;4;5;4;4;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) E-sports (Modalidade de esportes eletronicos) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado nao estar muito longe da minha familia;Baixo indice de violencia Baixo custo de vida;Facebook Youtube Transporte publico (onibus trem metro etc) Sites e blogs
8/24/2019 14:50:56;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 15:19:38;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Youtube Whatsapp;Sites: G1 R7 Folha etc Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Filmes;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando minha segunda Pos-graduacao;Dedico pouco tempo aos estudos;Exatas;Faco um curso pre-vestibular Estudo em casa por conta propria;Fazendo uma busca no Google;5;3;3;5;4;4;4;5;4;3;3;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade;E-mail
8/24/2019 15:27:56;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/24/2019 18:40:01;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Nordeste;Facebook Youtube Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao Radio;Ficar em casa vendo series filmes jogando estudando etc;Filmes Redes Sociais Blogs;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Exatas;Assisto videoaulas no Youtube;Assistindo videos no Youtube Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Vendo a avaliacao da instituicao no site do MEC;5;2;2;5;4;5;5;3;4;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Entretenimento para os finais de semana Baixo indice de violencia Baixo custo de vida;Facebook Youtube
8/24/2019 23:55:37;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 8:10:26;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 10:48:38;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 11:03:13;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 11:34:15;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 11:39:25;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 17:06:31;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sudeste;Whatsapp Linkedin;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Redes Sociais: paginas e Perfis Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Praticar alguma atividade fisica e/ou esportiva;Jogos Esportes;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico pouco tempo aos estudos;Exatas;Faco um curso pre-vestibular Estudo em casa por conta propria;Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;2;2;5;5;5;4;5;5;4;4;Trabalho ne nao teria tempo;nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Grupos de Whatsapp E-mail Televisao midia impressa (revistas jornais panfletos etc) Sites e blogs
8/25/2019 20:37:26;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 20:45:26;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico;;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos;Exatas;Estudo em casa por conta propria;Assistindo videos no Youtube Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;4;5;5;5;5;2;4;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao estar muito longe da minha familia Estar o mais longe possivel da minha familia;Transporte publico de qualidade Baixo indice de violencia;Facebook Sites e blogs
8/25/2019 20:59:10;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 21:26:39;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 22:00:00;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 22:31:36;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 22:49:28;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 0:19:43;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 7:37:46;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 8:54:11;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 9:48:35;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sudeste;Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Musica Filmes Podcasts Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo;Dedico pouco tempo aos estudos;Exatas;Faz muito tempo que nao presto vestibular;Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao;5;1;1;5;2;4;4;3;4;2;2;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao estar muito longe da minha familia;Transporte publico de qualidade Baixo indice de violencia;Youtube Grupos de Whatsapp
8/26/2019 10:11:58;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 11:00:30;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 11:01:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 11:05:26;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Nordeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp Linkedin;Blogs e Foruns Radio Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Musica Series;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico bastante tempo aos estudos;Exatas;Estudo em casa por conta propria;Fazendo uma busca no Google;2;2;2;4;4;4;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado;Transporte publico de qualidade Entretenimento para os finais de semana Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube E-mail
8/26/2019 11:22:42;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 11:53:33;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 12:05:05;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Feminino;Nordeste;Youtube Whatsapp;Sites: G1 R7 Folha etc Televisao Radio;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Praticar alguma atividade fisica e/ou esportiva;Musica Series Filmes Podcasts;Prefiro nao opinar sobre isso.;Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos Faco atividades complementares;Humanas;nao me preparo para o vestibular;Assistindo videos no Youtube Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;4;5;5;5;5;5;5;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro estar localizada em qualquer capital do pais onde tambem possa trabalhar;Transporte publico de qualidade Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;E-mail Sites e blogs
8/26/2019 14:46:14;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 16:52:33;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 23:19:11;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/27/2019 0:37:25;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/27/2019 7:16:22;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/27/2019 13:24:39;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/27/2019 13:26:12;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/27/2019 16:15:14;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Youtube Whatsapp;Redes Sociais: paginas e Perfis;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Filmes;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Dedico pouco tempo aos estudos;Exatas;Estudo em casa por conta propria;Fazendo uma busca no Google;5;2;2;5;4;5;5;4;2;2;2;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) E-sports (Modalidade de esportes eletronicos);Estar localizada em qualquer cidade do meu estado;Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Youtube
8/28/2019 10:51:26;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/28/2019 12:39:39;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/28/2019 13:59:15;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/28/2019 14:37:00;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/28/2019 17:17:43;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Prefiro nao dizer;Sudeste;Whatsapp Linkedin;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Televisao Busco tudo no Google;Sair para passear no shopping parque ou algum espaco publico Frequentar museus galerias e espacos culturais Viajar por cidades aleatorias;Musica Esportes Series;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Buscando minha primeira Pos-graduacao;Faco o basico para conseguir aprovacao Faco atividades complementares;Exatas;Ja passei no vestibular a 25 anos atras;Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;;3;4;4;5;4;4;5;3;3;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);Estar localizada na cidade em que eu moro;Transporte publico de qualidade Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;E-mail midia impressa (revistas jornais panfletos etc)
8/28/2019 20:42:12;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/29/2019 13:23:04;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/29/2019 14:24:17;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Feminino;Sudeste;Facebook Messenger (Facebook) Whatsapp;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico;Musica Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo;Dedico bastante tempo aos estudos Faco atividades complementares;Humanas;Estudo em casa por conta propria Assisto videoaulas no Youtube;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;4;5;5;5;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro Estar localizada numa cidade com baixo custo de vida;Transporte publico de qualidade Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Facebook Instagram
8/29/2019 22:47:58;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/30/2019 0:18:54;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/02/2019 16:24;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/06/2019 00:17;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/08/2019 16:27;Estou buscando um curso de Pos-Graduacao;Menos de 18 anos;Masculino;Sudeste;Youtube, Whatsapp;Redes Sociais: paginas e Perfis, Busco tudo no Google;Ficar em casa vendo series, filmes, jogando, estudando, etc, Encontrar meus amigos e colocar o papo em dia, Frequentar museus, galerias e espacos culturais;Jogos, Filmes, Redes Sociais;"Sou a favor, mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o Ensino Medio;Dedico pouco tempo aos estudos, Faco o basico para conseguir aprovacao;Biologicas;Estudo em casa por conta propria, Leio muitos livros e artigos, Assisto videoaulas no Youtube;Assistindo videos no Youtube, Conversando com meus pais, Conversando com amigos, Fazendo uma busca no Google, Acessando o site da propria instituicao;2;4;1;5;2;5;5;5;5;5;4;Atividades em laboratorio (Experimentos, Pesquisas, Testes, Exames, dentre outras), Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado, nao estar muito longe da minha familia;Transporte publico de qualidade, Opcoes de lazer e cultura, Pracas e parques para passear, Baixo indice de violencia;Facebook, Youtube, Grupos de Whatsapp, Televisao, Transporte publico (onibus, trem, metro, etc)
09/09/2019 20:36;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/10/2019 14:10;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
